t,x,v
0,1.10232,-0.153046
0.01,1.21039,0.0166998
0.02,0.794837,-0.165863
0.03,0.967364,0.105663
0.04,1.00539,-0.0714787
0.05,1.09511,-0.0838031
0.06,0.756604,-0.0477198
0.07,0.972972,-0.135524
0.08,0.833351,0.0473657
0.09,0.876007,-0.0368101
0.1,0.974799,-0.0411449
0.11,0.812442,-0.197023
0.12,1.15433,-0.335844
0.13,0.79285,0.00095616
0.14,0.971028,-0.151461
0.15,0.975928,-0.303994
0.16,1.02229,-0.213539
0.17,1.02008,-0.0226773
0.18,1.0423,-0.221937
0.19,1.11466,-0.0943554
0.2,0.955513,-0.116692
0.21,0.968062,-0.302919
0.22,0.861916,-0.167403
0.23,0.93697,-0.215084
0.24,1.06555,-0.0179481
0.25,1.05446,-0.167004
0.26,1.0537,-0.274605
0.27,0.977657,-0.233503
0.28,0.891605,-0.470672
0.29,0.909748,-0.0816173
0.3,0.907175,-0.244774
0.31,1.10283,-0.222585
0.32,1.01007,-0.333446
0.33,0.909668,-0.275538
0.34,0.988342,-0.476491
0.35,0.986868,-0.467151
0.36,0.826599,-0.342629
0.37,0.953999,-0.421668
0.38,1.15991,-0.288024
0.39,0.879851,-0.479903
0.4,0.84525,-0.338538
0.41,0.930126,-0.436207
0.42,0.869452,-0.420257
0.43,0.821579,-0.477784
0.44,0.940223,-0.547126
0.45,0.830497,-0.510208
0.46,0.852858,-0.48155
0.47,0.979449,-0.504694
0.48,0.802185,-0.361731
0.49,0.893922,-0.451725
0.5,1.0523,-0.690009
0.51,0.80598,-0.511301
0.52,0.950771,-0.434812
0.53,0.91123,-0.610752
0.54,0.791818,-0.548018
0.55,0.90299,-0.369235
0.56,0.683496,-0.478092
0.57,0.85357,-0.536904
0.58,0.768258,-0.507642
0.59,0.640188,-0.544377
0.6,0.79034,-0.407184
0.61,0.75428,-0.640972
0.62,0.96177,-0.581489
0.63,0.727184,-0.554426
0.64,0.725179,-0.540943
0.65,0.862131,-0.595103
0.66,0.735501,-0.719438
0.67,0.914559,-0.554594
0.68,0.654086,-0.720838
0.69,0.584684,-0.900182
0.7,0.715958,-0.474947
0.71,0.82362,-0.663686
0.72,0.715575,-0.633648
0.73,0.812896,-0.735573
0.74,0.69741,-0.740117
0.75,0.534257,-0.636216
0.76,0.778792,-0.667106
0.77,0.624779,-0.720957
0.78,0.553907,-0.455395
0.79,0.660346,-0.690396
0.8,0.613356,-0.612253
0.81,0.584388,-0.734366
0.82,0.710053,-0.690655
0.83,0.685502,-0.767056
0.84,0.724062,-0.831519
0.85,0.705685,-0.670618
0.86,0.73843,-0.878797
0.87,0.650066,-0.868397
0.88,0.694107,-0.838806
0.89,0.46602,-0.646766
0.9,0.719548,-0.671301
0.91,0.48182,-0.875908
0.92,0.609292,-0.713653
0.93,0.660555,-0.804687
0.94,0.569231,-0.743517
0.95,0.596054,-0.845649
0.96,0.552233,-0.802411
0.97,0.582236,-0.909621
0.98,0.632634,-0.876417
0.99,0.575706,-0.789486
1,0.600859,-0.886071
1.01,0.504235,-0.752914
1.02,0.523056,-0.706147
1.03,0.395167,-0.727274
1.04,0.378394,-0.937589
1.05,0.402187,-0.875361
1.06,0.545517,-0.813188
1.07,0.522465,-1.0194
1.08,0.556747,-0.760556
1.09,0.330169,-0.748019
1.1,0.30137,-0.979539
1.11,0.473225,-0.846314
1.12,0.30151,-0.884525
1.13,0.471271,-0.823389
1.14,0.293896,-0.821448
1.15,0.503834,-0.905837
1.16,0.583677,-0.640732
1.17,0.550712,-0.942245
1.18,0.350435,-1.16254
1.19,0.697842,-1.04022
1.2,0.53804,-0.749148
1.21,0.361672,-0.987035
1.22,0.327686,-0.88795
1.23,0.289504,-0.851216
1.24,0.397751,-0.861558
1.25,0.18776,-0.968547
1.26,0.474934,-1.00005
1.27,0.362168,-0.807271
1.28,0.333641,-0.876505
1.29,0.351669,-1.05728
1.3,0.431618,-0.858532
1.31,0.0629609,-1.02004
1.32,0.204434,-0.896743
1.33,0.36073,-1.09711
1.34,0.100309,-1.05521
1.35,0.201922,-1.06189
1.36,0.214264,-0.981085
1.37,0.165822,-0.904353
1.38,0.0401237,-1.04362
1.39,-0.0440684,-0.954135
1.4,0.162258,-0.975655
1.41,0.229667,-0.961143
1.42,0.238371,-0.928504
1.43,0.130907,-1.14407
1.44,0.130571,-0.861855
1.45,0.0228757,-1.0147
1.46,0.294314,-0.998505
1.47,0.168832,-0.960085
1.48,0.00831887,-1.18048
1.49,0.0509459,-0.907499
1.5,0.0458582,-1.0557
1.51,0.0110903,-1.12121
1.52,0.0445795,-1.01438
1.53,0.0770657,-0.994476
1.54,0.108333,-1.09258
1.55,-0.000209146,-0.812206
1.56,0.197695,-1.07844
1.57,0.244201,-0.834644
1.58,0.0454945,-0.887228
1.59,-0.0108079,-0.773565
1.6,0.112071,-0.956526
1.61,0.0931407,-1.04696
1.62,0.148294,-1.0392
1.63,-0.0983777,-0.881611
1.64,-0.169912,-1.24329
1.65,-0.0442175,-1.04126
1.66,0.0199129,-1.04047
1.67,-0.0891479,-0.943456
1.68,-0.241461,-0.743774
1.69,-0.0373376,-0.877597
1.7,-0.011286,-1.22115
1.71,0.0291546,-0.789329
1.72,-0.201574,-0.932182
1.73,-0.119991,-0.881652
1.74,-0.146281,-1.15111
1.75,-0.138692,-0.889934
1.76,-0.132297,-0.914598
1.77,-0.258423,-0.817575
1.78,-0.193636,-0.896208
1.79,-0.260549,-0.84213
1.8,-0.33116,-0.846681
1.81,-0.285768,-1.0185
1.82,-0.301672,-0.882406
1.83,-0.37271,-1.19184
1.84,-0.366443,-0.843772
1.85,-0.270802,-0.967767
1.86,-0.192298,-1.02366
1.87,-0.324272,-0.882404
1.88,-0.206288,-0.987085
1.89,-0.359254,-0.96956
1.9,-0.344813,-1.05784
1.91,-0.405398,-0.989194
1.92,-0.266548,-0.849652
1.93,-0.502273,-0.850345
1.94,-0.423995,-1.05371
1.95,-0.278255,-0.844197
1.96,-0.333235,-0.869846
1.97,-0.528781,-0.798053
1.98,-0.375958,-1.00273
1.99,-0.428913,-0.869551
2,-0.266052,-0.927007
2.01,-0.279136,-0.817991
2.02,-0.409703,-1.02346
2.03,-0.397611,-0.880445
2.04,-0.377351,-0.910231
2.05,-0.477835,-0.891697
2.06,-0.540065,-1.00319
2.07,-0.555362,-0.935669
2.08,-0.582058,-0.938706
2.09,-0.495745,-1.03183
2.1,-0.540914,-0.785744
2.11,-0.432257,-0.860272
2.12,-0.35073,-0.848505
2.13,-0.442919,-0.814357
2.14,-0.603417,-0.774159
2.15,-0.404212,-0.78242
2.16,-0.45504,-0.708582
2.17,-0.628256,-0.822009
2.18,-0.748071,-0.734526
2.19,-0.556862,-0.753312
2.2,-0.628352,-0.806869
2.21,-0.529212,-0.832147
2.22,-0.68369,-0.730653
2.23,-0.532701,-0.812985
2.24,-0.574148,-0.905025
2.25,-0.791678,-0.720746
2.26,-0.609644,-0.745252
2.27,-0.583499,-0.922194
2.28,-0.815313,-0.730796
2.29,-0.625945,-0.74797
2.3,-0.752772,-0.717299
2.31,-0.517308,-0.996506
2.32,-0.715672,-0.758727
2.33,-0.714868,-0.68878
2.34,-0.628694,-0.486452
2.35,-0.477481,-0.676841
2.36,-0.605252,-0.535426
2.37,-0.662371,-0.597442
2.38,-0.880454,-0.725623
2.39,-0.640518,-0.659642
2.4,-0.658454,-0.680733
